Release date,Last Updated,CVE Number,CVE Number (Link),CVE Title,Vector String,CWE,revision,security_updates
"Jan 9, 2024","Jan 9, 2024",CVE-2024-20672,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-20672,.NET Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,CWE-400: Uncontrolled Resource Consumption,"['1.0\nJan 9, 2024\nInformation published.\n']","[('.NET 7.0', '-', '7.0.15'), ('.NET 6.0', '-', '6.0.26')]"
"Feb 13, 2024","Feb 13, 2024",CVE-2024-21386,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21386,.NET Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,CWE-400: Uncontrolled Resource Consumption,"['1.0\nFeb 13, 2024\nInformation published.\n']","[('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.12'), ('Microsoft Visual Studio 2022 version 17.4', '-', '17.4.16'), ('ASP.NET Core 8.0', '-', '8.0.2'), ('ASP.NET Core 7.0', '-', '7.0.16'), ('ASP.NET Core 6.0', '-', '6.0.27'), ('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.7')]"
"Feb 13, 2024","Feb 13, 2024",CVE-2024-21404,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21404,.NET Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,CWE-476: NULL Pointer Dereference,"['1.0\nFeb 13, 2024\nInformation published.\n']","[('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.7'), ('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.12'), ('Microsoft Visual Studio 2022 version 17.4', '-', '17.4.16'), ('.NET 8.0', '-', '8.0.2'), ('.NET 7.0', '-', '7.0.16'), ('.NET 6.0', '-', '6.0.27')]"
"Jan 9, 2024","Feb 13, 2024",CVE-2024-21312,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21312,.NET Framework Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,CWE-20: Improper Input Validation,"['1.3\nFeb 13, 2024\nTo address a known issue with a broken link, corrected Download links in the Security Updates table. This is an informational change only.\n', '1.2\nJan 22, 2024\nCorrected Download links in the Security Updates table. This is an informational change only.\n', '1.1\nJan 12, 2024\nCorrected Download and Article links in the Security Updates table. This is an informational change only.\n', '1.0\nJan 9, 2024\nInformation published.\n']","[('Microsoft .NET Framework 3.5', 'Windows Server 2012 R2 (Server Core installation)', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 R2', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 (Server Core installation)', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for 32-bit Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 22H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 22H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for 32-bit Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 version 21H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 version 21H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows Server 2022 (Server Core installation)', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows Server 2022', '4.8.09214.01'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2 (Server Core installation)', '3.0.50727.8976'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2', '3.0.50727.8976'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 (Server Core installation)', '4.7.04081.03'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012', '4.7.04081.03'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)', '4.7.04081.02'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1', '4.7.04081.02'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2016 (Server Core installation)', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2016', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1607 for x64-based Systems', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1607 for 32-bit Systems', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2019 (Server Core installation)', '4.7.04081.03'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2019', '4.7.04081.03'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1809 for ARM64-based Systems', '4.7.04081.03'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1809 for x64-based Systems', '4.7.04081.03'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1809 for 32-bit Systems', '4.7.04081.03'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 22H2 for 32-bit Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 22H2 for ARM64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 22H2 for x64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 21H2 for x64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 21H2 for ARM64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 21H2 for 32-bit Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 11 version 21H2 for ARM64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 11 version 21H2 for x64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2022 (Server Core installation)', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2022', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019 (Server Core installation)', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 1809 for x64-based Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 1809 for 32-bit Systems', '4.8.04690.02'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012 R2 (Server Core installation)', '4.8.04690.02'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012 R2', '4.8.04690.02'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012 (Server Core installation)', '4.8.04690.02'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012', '4.8.04690.02'), ('Microsoft .NET Framework 4.8', 'Windows Server 2016 (Server Core installation)', '4.8.04690.02')]"
"Apr 12, 2022","Jun 24, 2024",CVE-2022-26832,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-26832,.NET Framework Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,,"['4.1\nJun 24, 2024\nUpdated the build numbers.  This is an informational update only.\n', '4.0\nAug 9, 2022\nTo comprehensively address this vulnerability, Microsoft has released Monthly Rollup KB5016268 for .NET Framework 3.5 installed on Windows 8.1 and Windows Server 2012 R2. Microsoft strongly recommends that customers install the update to be fully protected from the vulnerability. Customers whose systems are configured to receive automatic updates do not need to take any further action.\n', '3.0\nJun 14, 2022\nIn the Security Updates table, added .NET Framework 4.6.2/4.7/4.7.1/4.7.2 installed on Windows 10 version 1607, Windows Server 2016, and Windows Server 2016 (Server Core installation) as these versions of Window 10 and Windows Server with .NET Framework 4.6.2/4.7/4.7.1/4.7.2 installed are affected by this vulnerability. Customers running these versions of .NET Framework should install the April 2022 security updates to be protected from this vulnerability.\n', '2.0\nApr 19, 2022\nIn the Security Updates table, added .NET Framework 4.8 installed on Windows Server 2016 and Windows Server 2016 (Server Core installation), .NET Framework 3.5 and 4.7.2 intalled on Windows Server 2019 and Windows Server 2019 (Server Core installation), and .NET Framework 3.5 and 4.8 installed on Windows Server 2019 and Windows Server 2019 (Server Core installation) as these versions of Windows Server with these versions of .NET Framework installed are affected by this vulnerability. Customers running these versions of .NET Framework should install the April 2022 security updates to be protected from this vulnerability.\n', '1.0\nApr 12, 2022\nInformation published.\n']","[('Microsoft .NET Framework 3.5 AND 4.6.2/4.7/4.7.1/4.7.2', 'Windows 10 Version 1607 for x64-based Systems', '10.0.14393.5066'), ('Microsoft .NET Framework 3.5 AND 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2016 (Server Core installation)', '10.0.14393.5066'), ('Microsoft .NET Framework 3.5 AND 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2016', '10.0.14393.5066'), ('Microsoft .NET Framework 3.5 AND 4.6.2/4.7/4.7.1/4.7.2', 'Windows 10 Version 1607 for 32-bit Systems', '10.0.14393.5066'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2019 (Server Core installation)', '4.7.3930.02'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows Server 2019', '4.7.3930.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows Server 2016 (Server Core installation)', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows Server 2016', '4.8.4494.03'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019 (Server Core installation)', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H1 for 32-bit Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H2 for x64-based Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H2 for 32-bit Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H2 for ARM64-based Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H1 for ARM64-based Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.8', 'Windows 10 Version 21H1 for x64-based Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.5.2', 'Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)', '4.0.52732.367324.0.52734.36734'), ('Microsoft .NET Framework 4.5.2', 'Windows Server 2008 for 32-bit Systems Service Pack 2', '4.0.52732.367324.0.52734.36734'), ('Microsoft .NET Framework 4.5.2', 'Windows 8.1 for x64-based systems', '4.0.52730.367304.0.52730.3673'), ('Microsoft .NET Framework 4.5.2', 'Windows RT 8.1', '4.0.52730.36730'), ('Microsoft .NET Framework 4.5.2', 'Windows 8.1 for 32-bit systems', '4.0.52730.367304.0.52730.3673'), ('Microsoft .NET Framework 4.5.2', 'Windows 7 for x64-based Systems Service Pack 1', '4.0.52732.367324.0.52734.36734'), ('Microsoft .NET Framework 4.5.2', 'Windows 7 for 32-bit Systems Service Pack 1', '4.0.52732.367324.0.52734.36734'), ('Microsoft .NET Framework 3.5.1', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)', '6.1.50727.89622.0.50727.8962'), ('Microsoft .NET Framework 3.5.1', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1', '6.1.50727.89622.0.50727.8962'), ('Microsoft .NET Framework 3.5.1', 'Windows 7 for x64-based Systems Service Pack 1', '6.1.50727.89622.0.50727.8962'), ('Microsoft .NET Framework 3.5.1', 'Windows 7 for 32-bit Systems Service Pack 1', '6.1.50727.89622.0.50727.8962'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 R2 (Server Core installation)', '-2.0.50727.8962'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2 (Server Core installation)', '4.7.03930.024.0.3930.01'), ('Microsoft .NET Framework 4.5.2', 'Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)', '52732.367324.0.52734.36734'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012 R2', '4.8.04494.034.8.4494.01'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 1809 for 32-bit Systems', '4.8.4494.03'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows 7 for 32-bit Systems Service Pack 1', '4.7.03930.024.7.3930.01'), ('Microsoft .NET Framework 4.8', 'Windows 8.1 for 32-bit systems', '4.8.04494.034.8.4494.01'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows 8.1 for x64-based systems', '4.7.03930.024.0.3930.01'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2', '4.7.03930.024.0.3930.01'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012', '4.703930.024.7.3930.01'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012 R2 (Server Core installation)', '4.8.04494.034.8.4494.01'), ('Microsoft .NET Framework 4.8', 'Windows Server 2012', '4.8.04494.034.8.4494.01'), ('Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.2', 'Windows RT 8.1', '4.7.03930.02')]"
"Mar 22, 2024","May 8, 2024",CVE-2024-29059,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29059,.NET Framework Information Disclosure Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,CWE-209: Generation of Error Message Containing Sensitive Information,"['2.0\nMay 8, 2024\nThe following corrections have been made in the Security Updates table: 1) Removed .NET Framework 3.5 and 4.7.2 on Windows 10 version 1809 for ARM-based systems, .NET Framework 3.5 and 4.7/4.7.1/4.7.2 on Windows 10 version 1607 as these versions are not affected by this vulnerability. 2) Added .NET Framework 3.5 & 4.8 on Windows 10 version 1809 and Windows Server 2019, .NET Framework 3.5 and 4.7.2 on Windows 10 version 1607. Customers whose systems are configured to receive automatic updates do not need to take any further action. 3) Corrected Download and Article links.\n', '1.0\nMar 22, 2024\nInformation published. This CVE was addressed by updates that were released in January 2024, but the CVE was inadvertently omitted from the January 2024 Security Updates. This is an informational change only. Customers who have already installed the January 2024 updates do not need to take any further action.\n']","[('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1607 for x64-based Systems', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.7.2', 'Windows 10 Version 1607 for 32-bit Systems', '10.0.14393.6614'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019 (Server Core installation)', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows Server 2019', '4.8.04690.02'), ('Microsoft .NET Framework 3.5 AND 4.8', 'Windows 10 Version 1809 for 32-bit Systems', '4.8.04690.02'), ('Microsoft .NET Framework 3.5.1', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation)', '3.0.30729.89593.0.30729.8959'), ('Microsoft .NET Framework 3.5.1', 'Windows Server 2008 R2 for x64-based Systems Service Pack 1', '3.0.30729.89593.0.30729.8959'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 R2 (Server Core installation)', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 R2', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012 (Server Core installation)', '3.0.50727.8976'), ('Microsoft .NET Framework 3.5', 'Windows Server 2012', '3.0.50727.8976'), ('Microsoft .NET Framework 3.0 Service Pack 2', 'Windows Server 2008 for x64-based Systems Service Pack 2', '3.0.50727.89763.0.50727.8976'), ('Microsoft .NET Framework 3.0 Service Pack 2', 'Windows Server 2008 for 32-bit Systems Service Pack 2', '3.0.50727.89763.0.50727.8976'), ('Microsoft .NET Framework 2.0 Service Pack 2', 'Windows Server 2008 for x64-based Systems Service Pack 2', '3.0.50727.89763.0.50727.8976'), ('Microsoft .NET Framework 2.0 Service Pack 2', 'Windows Server 2008 for 32-bit Systems Service Pack 2', '3.0.50727.89763.0.50727.8976'), ('Microsoft .NET Framework 3.5 AND 4.6/4.6.2', 'Windows 10 for x64-based Systems', '10.0.10240.20402'), ('Microsoft .NET Framework 3.5 AND 4.6/4.6.2', 'Windows 10 for 32-bit Systems', '10.0.10240.20402'), ('Microsoft .NET Framework 4.6.2', 'Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation)', '4.7.04081.034.7.04081.02'), ('Microsoft .NET Framework 4.6.2', 'Windows Server 2008 for x64-based Systems Service Pack 2', '4.7.04081.034.7.04081.02'), ('Microsoft .NET Framework 4.6.2', 'Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation)', '4.7.04081.034.7.04081.02'), ('Microsoft .NET Framework 4.6.2', 'Windows Server 2008 for 32-bit Systems Service Pack 2', '4.7.04081.034.7.04081.02'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows Server 2022, 23H2 Edition (Server Core installation)', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 23H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 23H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for 32-bit Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 22H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 22H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 Version 22H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 10 Version 21H2 for 32-bit Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 version 21H2 for ARM64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows 11 version 21H2 for x64-based Systems', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows Server 2022 (Server Core installation)', '4.8.09214.01'), ('Microsoft .NET Framework 3.5 AND 4.8.1', 'Windows Server 2022', '4.8.09214.01'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2 (Server Core installation)', '4.7.04081.03'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 R2', '4.7.04081.03'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012 (Server Core installation)', '4.7.04081.03'), ('Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2', 'Windows Server 2012', '4.7.04081.03')]"
"Jul 9, 2024","Oct 8, 2024",CVE-2024-38095,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38095,.NET and Visual Studio Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CWE-20: Improper Input Validation,"['3.0\nOct 8, 2024\nIn the Security Updates table, added .NET 6.0 as it is also affected by this vulnerability. Note that there is no security update for .NET 6.0 to address this vulnerablity. HTTP/3 support was only experimental in .NET 6.0, so if you are using .NET 6 you must update your application to .NET 8 to be protected.\n', '2.0\nJul 25, 2024\nRevised the Security Updates table to include PowerShell 7.4 and 7.2 because these versions of PowerShell 7 are affected by this vulnerability. See https://github.com/PowerShell/Announcements/issues/64 for more information.\n', '1.0\nJul 9, 2024\nInformation published.\n']","[('.NET 6.0', '-', '-'), ('PowerShell 7.2', '-', '7.2.22'), ('PowerShell 7.4', '-', '7.4.4'), ('Microsoft Visual Studio 2022 version 17.10', '-', '17.10.4'), ('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.12'), ('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.17'), ('Microsoft Visual Studio 2022 version 17.4', '-', '17.4.21'), ('.NET 8.0', '-', '8.0.7')]"
"Mar 12, 2024","Apr 16, 2024",CVE-2024-21392,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21392,.NET and Visual Studio Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,CWE-400: Uncontrolled Resource Consumption,"['2.0\nApr 16, 2024\nRevised the Security Updates table to include PowerShell 7.3 and PowerShell 7.4 because these versions of PowerShell 7 are affected by this vulnerability. See https://github.com/PowerShell/Announcements/issues/74 for more information.\n', '1.0\nMar 12, 2024\nInformation published.\n']","[('PowerShell 7.4', '-', '-'), ('PowerShell 7.3', '-', '7.3.12'), ('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.8'), ('Microsoft Visual Studio 2022 version 17.4', '-', '17.4.17'), ('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.13'), ('.NET 8.0', '-', '8.0.3'), ('.NET 7.0', '-', '7.0.17'), ('Microsoft Visual Studio 2022 version 17.9', '-', '17.9.3')]"
"Jul 9, 2024","Jul 25, 2024",CVE-2024-30105,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-30105,.NET and Visual Studio Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CWE-400: Uncontrolled Resource Consumption,"['2.0\nJul 25, 2024\nRevised the Security Updates table to include PowerShell 7.4 because this version of PowerShell 7 is affected by this vulnerability. See https://github.com/PowerShell/Announcements/issues/65 for more information.\n', '1.0\nJul 9, 2024\nInformation published.\n']","[('PowerShell 7.4', '-', '7.4.4'), ('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.12'), ('Microsoft Visual Studio 2022 version 17.10', '-', '17.10.4'), ('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.17'), ('Microsoft Visual Studio 2022 version 17.4', '-', '17.4.21'), ('.NET 8.0', '-', '8.0.7')]"
"Aug 13, 2024","Aug 13, 2024",CVE-2024-38168,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38168,.NET and Visual Studio Denial of Service Vulnerability,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:U/RL:O/RC:C,CWE-400: Uncontrolled Resource Consumption,"['1.0\nAug 13, 2024\nInformation published.\n']","[('Microsoft Visual Studio 2022 version 17.8', '-', '17.8.13'), ('Microsoft Visual Studio 2022 version 17.10', '-', '17.10.6'), ('Microsoft Visual Studio 2022 version 17.6', '-', '17.6.18'), ('.NET 8.0', '-', '8.0.8')]"
