Release date,CVE,Link,CWE,CVE_Link,Description
"Oct 8, 2024",CVE-2024-43484,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43484,CWE-407: Inefficient Algorithmic Complexity,https://www.cve.org/CVERecord?id=CVE-2024-43484,".NET, .NET Framework, and Visual Studio Denial of Service Vulnerability"
"Oct 8, 2024",CVE-2024-43484,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43484,CWE-789: Memory Allocation with Excessive Size Value,https://www.cve.org/CVERecord?id=CVE-2024-43484,".NET, .NET Framework, and Visual Studio Denial of Service Vulnerability"
"Oct 8, 2024",CVE-2024-43483,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43483,CWE-407: Inefficient Algorithmic Complexity,https://www.cve.org/CVERecord?id=CVE-2024-43483,".NET, .NET Framework, and Visual Studio Denial of Service Vulnerability"
"Jul 9, 2024",CVE-2024-38081,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38081,CWE-59: Improper Link Resolution Before File Access ('Link Following'),https://www.cve.org/CVERecord?id=CVE-2024-38081,".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability"
"Apr 9, 2024",CVE-2024-21409,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21409,CWE-416: Use After Free,https://www.cve.org/CVERecord?id=CVE-2024-21409,".NET, .NET Framework, and Visual Studio Remote Code Execution Vulnerability"
"Mar 22, 2024",CVE-2024-29059,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29059,CWE-209: Generation of Error Message Containing Sensitive Information,https://www.cve.org/CVERecord?id=CVE-2024-29059,.NET Framework Information Disclosure Vulnerability
"Feb 20, 2024",CVE-2024-21315,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21315,CWE-20: Improper Input Validation,https://www.cve.org/CVERecord?id=CVE-2024-21315,Microsoft Defender for Endpoint Protection Elevation of Privilege Vulnerability
"Jan 9, 2024",CVE-2024-0056,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-0056,CWE-319: Cleartext Transmission of Sensitive Information,https://www.cve.org/CVERecord?id=CVE-2024-0056,Microsoft.Data.SqlClient and System.Data.SqlClient SQL Data Provider Security Feature Bypass Vulnerability
"Jan 9, 2024",CVE-2024-21312,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21312,CWE-20: Improper Input Validation,https://www.cve.org/CVERecord?id=CVE-2024-21312,.NET Framework Denial of Service Vulnerability
"Jan 9, 2024",CVE-2024-0057,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-0057,CWE-20: Improper Input Validation,https://www.cve.org/CVERecord?id=CVE-2024-0057,"NET, .NET Framework, and Visual Studio Security Feature Bypass Vulnerability"
