Release date,Last Updated,CVE Number,CVE Number (Link),CVE Title,Impact,Max Severity,Tag
"Oct 4, 2024","Oct 4, 2024",CVE-2024-9370,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9370,Chromium: CVE-2024-9370 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Oct 4, 2024","Oct 4, 2024",CVE-2024-9369,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9369,Chromium: CVE-2024-9369 Insufficient data validation in Mojo,,,Microsoft Edge (Chromium-based)
"Sep 26, 2024","Sep 30, 2024",CVE-2024-9123,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9123,Chromium: CVE-2024-9123 Integer overflow in Skia,,,Microsoft Edge (Chromium-based)
"Sep 26, 2024","Sep 30, 2024",CVE-2024-9122,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9122,Chromium: CVE-2024-9122 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Sep 26, 2024","Sep 30, 2024",CVE-2024-9121,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9121,Chromium: CVE-2024-9121 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Sep 26, 2024","Sep 30, 2024",CVE-2024-9120,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-9120,Chromium: CVE-2024-9120 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8909,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8909,Chromium: CVE-2024-8909 Inappropriate implementation in UI,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8908,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8908,Chromium: CVE-2024-8908 Inappropriate implementation in Autofill,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8907,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8907,Chromium: CVE-2024-8907 Insufficient data validation in Omnibox,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8906,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8906,Chromium: CVE-2024-8906 Incorrect security UI in Downloads,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8905,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8905,Chromium: CVE-2024-8905 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Sep 19, 2024","Sep 19, 2024",CVE-2024-8904,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8904,Chromium: CVE-2024-8904 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Sep 13, 2024","Sep 13, 2024",CVE-2024-8639,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8639,Chromium: CVE-2024-8639 Use after free in Autofill,,,Microsoft Edge (Chromium-based)
"Sep 13, 2024","Sep 13, 2024",CVE-2024-8638,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8638,Chromium: CVE-2024-8638 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Sep 13, 2024","Sep 13, 2024",CVE-2024-8637,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8637,Chromium: CVE-2024-8637 Use after free in Media Router,,,Microsoft Edge (Chromium-based)
"Sep 13, 2024","Sep 13, 2024",CVE-2024-8636,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8636,Chromium: CVE-2024-8636 Heap buffer overflow in Skia,,,Microsoft Edge (Chromium-based)
"Sep 12, 2024","Sep 12, 2024",CVE-2024-8362,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8362,Chromium: CVE-2024-8362 Use after free in WebAudio,,,Microsoft Edge (Chromium-based)
"Sep 12, 2024","Sep 12, 2024",CVE-2024-8198,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8198,Chromium: CVE-2024-8198 Heap buffer overflow in Skia,,,Microsoft Edge (Chromium-based)
"Sep 12, 2024","Sep 12, 2024",CVE-2024-8194,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8194,Chromium: CVE-2024-8194 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-8035,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8035,Chromium: CVE-2024-8035 Inappropriate implementation in Extensions,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-8034,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8034,Chromium: CVE-2024-8034 Inappropriate implementation in Custom Tabs,,,Microsoft Edge (Chromium-based)
