cwe,relationship,target_cwe
CWE-5: J2EE Misconfiguration: Data Transmission Without Encryption,ChildOf,CWE-319: Cleartext Transmission of Sensitive Information
CWE-6: J2EE Misconfiguration: Insufficient Session-ID Length,ChildOf,CWE-334: Small Space of Random Values
CWE-6: J2EE Misconfiguration: Insufficient Session-ID Length,MemberOf,CWE-1018: Manage User Sessions
CWE-7: J2EE Misconfiguration: Missing Custom Error Page,ChildOf,CWE-756: Missing Custom Error Page
CWE-8: J2EE Misconfiguration: Entity Bean Declared Remote,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-9: J2EE Misconfiguration: Weak Access Permissions for EJB Methods,ChildOf,CWE-266: Incorrect Privilege Assignment
CWE-11: ASP.NET Misconfiguration: Creating Debug Binary,ChildOf,CWE-489: Active Debug Code
CWE-12: ASP.NET Misconfiguration: Missing Custom Error Page,ChildOf,CWE-756: Missing Custom Error Page
CWE-13: ASP.NET Misconfiguration: Password in Configuration File,ChildOf,CWE-260: Password in Configuration File
CWE-14: Compiler Removal of Code to Clear Buffers,ChildOf,CWE-733: Compiler Optimization Removal or Modification of Security-critical Code
CWE-15: External Control of System or Configuration Setting,ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-15: External Control of System or Configuration Setting,ChildOf,CWE-642: External Control of Critical State Data
CWE-15: External Control of System or Configuration Setting,MemberOf,CWE-371: State Issues
CWE-15: External Control of System or Configuration Setting,MemberOf,CWE-1011: Authorize Actors
CWE-15: External Control of System or Configuration Setting,ChildOf,CWE-20: Improper Input Validation
CWE-20: Improper Input Validation,ChildOf,CWE-707: Improper Neutralization
CWE-20: Improper Input Validation,ParentOf,CWE-179: Incorrect Behavior Order: Early Validation
CWE-20: Improper Input Validation,ParentOf,CWE-622: Improper Validation of Function Hook Arguments
CWE-20: Improper Input Validation,ParentOf,CWE-1173: Improper Use of Validation Framework
CWE-20: Improper Input Validation,ParentOf,CWE-1284: Improper Validation of Specified Quantity in Input
CWE-20: Improper Input Validation,ParentOf,"CWE-1285: Improper Validation of Specified Index, Position, or Offset in Input"
CWE-20: Improper Input Validation,ParentOf,CWE-1286: Improper Validation of Syntactic Correctness of Input
CWE-20: Improper Input Validation,ParentOf,CWE-1287: Improper Validation of Specified Type of Input
CWE-20: Improper Input Validation,ParentOf,CWE-1288: Improper Validation of Consistency within Input
CWE-20: Improper Input Validation,ParentOf,CWE-1289: Improper Validation of Unsafe Equivalence in Input
CWE-20: Improper Input Validation,PeerOf,CWE-345: Insufficient Verification of Data Authenticity
CWE-20: Improper Input Validation,CanPrecede,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-20: Improper Input Validation,CanPrecede,CWE-41: Improper Resolution of Path Equivalence
CWE-20: Improper Input Validation,CanPrecede,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CWE-20: Improper Input Validation,CanPrecede,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CWE-20: Improper Input Validation,CanPrecede,CWE-770: Allocation of Resources Without Limits or Throttling
CWE-20: Improper Input Validation,MemberOf,CWE-1003: Weaknesses for Simplified Mapping of Published Vulnerabilities
CWE-20: Improper Input Validation,ParentOf,CWE-129: Improper Validation of Array Index
CWE-20: Improper Input Validation,ParentOf,CWE-1284: Improper Validation of Specified Quantity in Input
CWE-20: Improper Input Validation,MemberOf,CWE-1019: Validate Inputs
CWE-20: Improper Input Validation,ParentOf,CWE-15: External Control of System or Configuration Setting
CWE-20: Improper Input Validation,ParentOf,CWE-73: External Control of File Name or Path
CWE-20: Improper Input Validation,ParentOf,CWE-102: Struts: Duplicate Validation Forms
CWE-20: Improper Input Validation,ParentOf,CWE-103: Struts: Incomplete validate() Method Definition
CWE-20: Improper Input Validation,ParentOf,CWE-104: Struts: Form Bean Does Not Extend Validation Class
CWE-20: Improper Input Validation,ParentOf,CWE-105: Struts: Form Field Without Validator
CWE-20: Improper Input Validation,ParentOf,CWE-106: Struts: Plug-in Framework not in Use
