Release date,Last Updated,CVE Number,CVE Number (Link),CVE Title,Impact,Max Severity,Tag,revision
"Jul 11, 2024","Sep 19, 2024",CVE-2024-6387,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6387,RedHat Openssh: CVE-2024-6387  Remote Code Execution Due To A Race Condition In Signal Handling,,,Open Source Software,"{'versionrevisionDatedescription', 'versionrevisionDatedescription2.12024年9月19日Microsoft is announcing the availability of the security update for Azure Arc Resource Bridge installed on Azure Stack HCI to address this vulnerability. Customers running Azure Arc Resource Bridge should install the Azure Stack HCI 2408 update to be protected from this vulnerability.\n2.02024年8月1日In the Security Updates table, added Azure Arc Resource Bridge and Azure Kubernetes Service Nodes because these product are also affected by this vulnerability. Microsoft strongly recommends that customers using these products install the updates to be fully protected from the vulnerability.\n1.12024年7月15日Updated FAQ information. This is an informational change only.\n1.02024年7月11日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-6197,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6197,Open Source Curl Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows cURL Implementation,"{'versionrevisionDatedescription1.12024年10月10日Updated CVE title. This is an informational change only.\n1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43616,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43616,Microsoft Office Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft Office,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43615,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43615,Microsoft OpenSSH for Windows Remote Code Execution Vulnerability,Remote Code Execution,Important,OpenSSH for Windows,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43614,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43614,Microsoft Defender for Endpoint for Linux Spoofing Vulnerability,Spoofing,Important,Microsoft Defender for Endpoint,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43612,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43612,Power BI Report Server Spoofing Vulnerability,Spoofing,Important,Power BI,"{'versionrevisionDatedescription1.12024年10月10日Corrected Article links in the Security Updates table. This is an informational change only.\n1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43611,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43611,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43609,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43609,Microsoft Office Spoofing Vulnerability,Spoofing,Important,Microsoft Office,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43608,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43608,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43607,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43607,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43604,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43604,Outlook for Android Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Outlook for Android,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43603,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43603,Visual Studio Collector Service Denial of Service Vulnerability,Denial of Service,Important,Visual Studio,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43601,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43601,Visual Studio Code for Linux Remote Code Execution Vulnerability,Remote Code Execution,Important,Visual Studio Code,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43599,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43599,Remote Desktop Client Remote Code Execution Vulnerability,Remote Code Execution,Important,Remote Desktop Client,"{'versionrevisionDatedescription1.12024年10月10日Added an acknowledgement. This is an informational change only.\n1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43593,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43593,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43592,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43592,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
