,Release date,Product,Platform,Impact,Component,CVE Title,CVE Number,CVE Number (Link),Vector String,CWE
0,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows SMB,Windows SMB Information Disclosure Vulnerability,CVE-2020-17140,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17140,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H/E:U/RL:O/RC:C,[]
1,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Security Feature Bypass,Windows Overlay Filter,Windows Overlay Filter Security Feature Bypass Vulnerability,CVE-2020-17139,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17139,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
2,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Cloud Files Mini Filter Driver,Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability,CVE-2020-17136,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17136,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
3,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Cloud Files Mini Filter Driver,Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability,CVE-2020-17134,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17134,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
4,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Camera Codec,Windows Camera Codec Information Disclosure Vulnerability,CVE-2020-17113,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17113,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:P/RL:O/RC:C,[]
5,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Cloud Files Mini Filter Driver,Windows Cloud Files Mini Filter Driver Elevation of Privilege Vulnerability,CVE-2020-17103,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17103,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
6,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Security Feature Bypass,Windows Lock Screen,Windows Lock Screen Security Feature Bypass Vulnerability,CVE-2020-17099,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17099,CVSS:3.0/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
7,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows GDI+,Windows GDI+ Information Disclosure Vulnerability,CVE-2020-17098,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17098,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
8,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Digital Media Receiver,Windows Digital Media Receiver Elevation of Privilege Vulnerability,CVE-2020-17097,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17097,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N/E:U/RL:O/RC:C,[]
9,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows NTFS,Windows NTFS Remote Code Execution Vulnerability,CVE-2020-17096,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17096,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
10,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows Hyper-V,Windows Hyper-V Remote Code Execution Vulnerability,CVE-2020-17095,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17095,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
11,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Error Reporting,Windows Error Reporting Information Disclosure Vulnerability,CVE-2020-17094,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17094,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
12,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Network Connections Service,Windows Network Connections Service Elevation of Privilege Vulnerability,CVE-2020-17092,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17092,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
13,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Common Log File System Driver,Windows Common Log File System Driver Elevation of Privilege Vulnerability,CVE-2020-17088,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17088,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,[]
